
WOJEWÓDZTWO,ON,E95,S98,LPG
Dolnośląskie,"3,99 zł (-4 gr)","3,87 zł (-2 gr)","4,17 zł (-9 gr)","1,74 zł (-2 gr)"
Kujawsko-Pomorskie,"4,04 zł (-7 gr)","3,99 zł (-5 gr)","4,36 zł (-9 gr)","1,75 zł (-2 gr)"
Lubelskie,"3,97 zł (-6 gr)","3,87 zł (-6 gr)","4,25 zł (-3 gr)","1,71 zł (-)"
Lubuskie,"4,04 zł (-3 gr)","3,94 zł (-1 gr)","4,34 zł (-4 gr)","1,84 zł (-)"
Łódzkie,"3,92 zł (-4 gr)","3,88 zł (-3 gr)","4,39 zł (-1 gr)","1,68 zł (-3 gr)"
Małopolskie,"3,90 zł (-10 gr)","3,80 zł (-4 gr)","4,12 zł (-3 gr)","1,54 zł (-5 gr)"
Mazowieckie,"4,22 zł (-7 gr)","4,11 zł (-4 gr)","4,50 zł (-1 gr)","1,81 zł (-2 gr)"
Opolskie,"3,99 zł (-5 gr)","3,91 zł (-2 gr)","4,29 zł (-3 gr)","1,68 zł (-6 gr)"
Podkarpackie,"3,95 zł (-4 gr)","3,87 zł (-2 gr)","4,29 zł (-4 gr)","1,64 zł (-3 gr)"
Podlaskie,"3,96 zł (-4 gr)","3,87 zł (-8 gr)","4,07 zł (-4 gr)","1,68 zł (-3 gr)"
Pomorskie,"3,99 zł (-5 gr)","3,87 zł (-2 gr)","4,19 zł (-)","1,75 zł (-3 gr)"
Śląskie,"3,88 zł (-6 gr)","3,79 zł (-4 gr)","3,94 zł (-5 gr)","1,62 zł (-3 gr)"
Świętokrzyskie,"3,94 zł (-5 gr)","3,77 zł (-6 gr)","4,07 zł (-12 gr)","1,58 zł (-5 gr)"
Warmińsko-Mazurskie,"4,01 zł (-2 gr)","3,90 zł (-3 gr)","4,13 zł (-)","1,64 zł (-1 gr)"
Wielkopolskie,"4,00 zł (-3 gr)","3,80 zł (-6 gr)","4,11 zł (-8 gr)","1,73 zł (-4 gr)"
Zachodnio-Pomorskie,"4,14 zł (-8 gr)","4,03 zł (-6 gr)","4,40 zł (-4 gr)","1,90 zł (-2 gr)"
